cited_articletitle,cited_year,cited_journal,citing_articletitle,citing_year,citing_journal
The clinical characteristics of pneumonia patients co-infected with 2019 novel coronavirus and influenza virus in Wuhan,,China. J Med Virol,Clinical features of the first cases and a cluster of Coronavirus Disease 2019 (COVID-19) in Bolivia imported from Italy and Spain,2020,Travel Medicine and Infectious Disease
Co-infection with SARS-CoV-2 and human Metapneumovirus,2013,R I Med J,Clinical features of the first cases and a cluster of Coronavirus Disease 2019 (COVID-19) in Bolivia imported from Italy and Spain,2020,Travel Medicine and Infectious Disease
SARS-CoV-2 is an appropriate name for the new coronavirus,2020,Lancet,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
Clinical characteristics of 24 asymptomatic infections with COVID-19 screened among close contacts in Nanjing,,"China, Sci. China Life Sci",COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
"A family cluster of SARS-CoV-2 infection involving 11 patients in Nanjing, China",2020,Lancet Infect. Dis,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
"CDC COVID-19 response team, update: public health response to the Coronavirus disease 2019 outbreak -United States",2020,MMWR Morb. Mortal. Wkly Rep,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
A familial cluster of infection associated with the 2019 novel coronavirus indicating potential person-to-person transmission during the incubation period,2020,J. Infect. Dis,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
Saliva as a diagnostic specimen for testing respiratory virus by a point-of-care molecular assay: a diagnostic validity study,2019,Clin. Microbiol. Infect,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
First known person-to-person transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in the USA,2020,Lancet. Available at,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
Substantial undocumented infection facilitates the rapid dissemination of novel coronavirus (SARS-CoV2),2020,Science,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
A novel coronavirus outbreak of global health concern,,Lancet,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan,2020,Emerg. Microbes Infect,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
A new coronavirus associated with human respiratory disease in China,2020,Nature,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
The press conference on COVID-19 in Hubei,,,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
Six weeks into the 2019 coronavirus disease (COVID-19) outbreak-it is time to consider strategies to impede the emergence of new zoonotic infections,,Chin Med J (Engl),"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
The L: COVID-19: fighting panic with information,,Lancet,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
Jiangsu Commission of Health. A confirmed COVID-19 case in Suzhou was reported by the national health and Health Commission,,,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
Estimated effectiveness of symptom and risk screening to prevent the spread of COVID-19,2020,J]. eLife,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
Novel coronavirus (2019-nCoV) cases in Hong Kong and implications for further spread,2020,J. Infect,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
A Novel Coronavirus from Patients with Pneumonia in China,2019,The New England journal of medicine 2020,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
Co-infection with SARS-CoV-2 and Influenza A Virus in Patient with Pneumonia,2020,China. Emerg. Infect. Dis,Clinical features of the first cases and a cluster of Coronavirus Disease 2019 (COVID-19) in Bolivia imported from Italy and Spain,2020,Travel Medicine and Infectious Disease
Clinical features of patients infected with 2019 novel coronavirus in Wuhan,2020,China. The Lancet,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application,2020,Ann. Intern. Med,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
The deadly coronaviruses: The 2003 SARS pandemic and the 2020 novel coronavirus epidemic in China,2020,J. Autoimmun,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: A study of a family cluster,2020,Lancet,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany,2020,N Engl J Med,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia",2020,New England Journal of Medicine,COVID-19 in a patient with long-term use of glucocorticoids: A study of a familial cluster,2020,Clinical Immunology
Presumed Asymptomatic Carrier Transmission of COVID-19,,JAMA,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
COVID-19 control in China during mass population movements at New Year,2020,Lancet,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
The Lancet,2020,,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
Facing the COVID-19 outbreak: What should we know and what could we do?,,J MED,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
"The SARS, MERS and novel coronavirus (COVID-19) epidemics, the newest and biggest global health threats: what lessons have we learned?",2020,Int J Epidemiol,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
Passengers' destinations from China: low risk of Novel Coronavirus (2019-nCoV) transmission into Africa and South America,,EPIDEMIOL,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
National Health Commission of The People'S Republic of China. The number of confirmed COVID-19 case was reported by the national health and Health Commission,,,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
Epidemiologic characteristics of early cases with 2019 novel coronavirus (2019-nCoV) disease in Republic of Korea,2009,,COVID-19 is not just a flu. Learn from Italy and act now,2020,Travel Medicine and Infectious Disease
Unique epidemiological and clinical features of the emerging 2019 novel coronavirus pneumonia (COVID-19) implicate special control measures,2020,J. Med. Virol,COVID-19 is not just a flu. Learn from Italy and act now,2020,Travel Medicine and Infectious Disease
Epidemiological and clinical characteristics of 99 cases of,2019,,COVID-19 is not just a flu. Learn from Italy and act now,2020,Travel Medicine and Infectious Disease
China: a descriptive study,,The Lancet,COVID-19 is not just a flu. Learn from Italy and act now,2020,Travel Medicine and Infectious Disease
World Health Organization declares COVID-19 as pandemic,,,COVID-19 is not just a flu. Learn from Italy and act now,2020,Travel Medicine and Infectious Disease
Dengue in Honduras and the Americas: the epidemics are back!,2019,Trav Med Infect Dis,"COVID-19 and dengue, co-epidemics in Ecuador and other countries in Latin America: Pushing strained health care systems over the edge",2020,Travel Medicine and Infectious Disease
"Mosquito diversity and public services as risk factors for emerging diseases in a small village , Ecuador amazon",2018,Entomol Appl Sci Lett,"COVID-19 and dengue, co-epidemics in Ecuador and other countries in Latin America: Pushing strained health care systems over the edge",2020,Travel Medicine and Infectious Disease
"pidemiological and clinical characteristics of 99 cases of 2019 novel corona virus pneumonia in Wuhan, China:a descriptive study",2020,Lancet,"New clinical experiences and evaluation of clinical and paraclinical features of deceased patients with COVID-19 infection referred to Shahid Mostafa Khomeini Hospital of Ilam, Iranin",2020,Travel Medicine and Infectious Disease
to dengue fever. The Brazilian government paid R$ 31 million for the hospitalization of approximately,,,COVID-19 and dengue fever: A dangerous combination for the health system in Brazil,2020,Travel Medicine and Infectious Disease
World Health Organization,2005,Coronavirus disease 2019 (COVID-19) Situation Report,COVID-19 and dengue fever: A dangerous combination for the health system in Brazil,2020,Travel Medicine and Infectious Disease
Brazilian Ministry of Health,2020,,COVID-19 and dengue fever: A dangerous combination for the health system in Brazil,2020,Travel Medicine and Infectious Disease
"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",2020,The Lancet,COVID-19 and dengue fever: A dangerous combination for the health system in Brazil,2020,Travel Medicine and Infectious Disease
Covert COVID-19 and false-positive dengue serology in Singapore,2020,Lancet Infect. Dis,COVID-19 and dengue fever: A dangerous combination for the health system in Brazil,2020,Travel Medicine and Infectious Disease
Substantial undocumented infection facilitates the rapid dissemination of novel coronavirus (SARS-CoV2),2020,Science,COVID-19 and dengue fever: A dangerous combination for the health system in Brazil,2020,Travel Medicine and Infectious Disease
"As the two outbreaks have a high likelihood of coinciding in terms of time, the burden of diseases may boost, requiring the Unified Health System (SUS) to put their greatest efforts into the double-fight against the outbreaks. *The number of dengue cases is not proportional to that of COVID-19 cases",,,COVID-19 and dengue fever: A dangerous combination for the health system in Brazil,2020,Travel Medicine and Infectious Disease
"Guideline for New Coronavirus Infection Prevention and Control, the third edition",,,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
Team -nCR. Initial Public Health Response and Interim Clinical Guidance for the 2019 Novel Coronavirus Outbreak -United States,2019,MMWR Morb. Mortal. Wkly Rep,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
Feasibility of controlling COVID-19 outbreaks by isolation of cases and contacts,2020,Lancet Glob Health,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
Epidemic size of novel coronavirus-infected pneumonia in the Epicenter Wuhan: using data of five-countries' evacuation action,,,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
2019-nCoV transmission through the ocular surface must not be ignored,2020,Lancet,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
Similarity in Case Fatality Rates (CFR) of COVID-19/SARS-COV-2 in Italy and China,2020,J Infect Dev Ctries,COVID-19 is not just a flu. Learn from Italy and act now,2020,Travel Medicine and Infectious Disease
COVID-19 in Latin America: The implications of the first confirmed case in Brazil,2020,Travel Medicine and Infectious Disease,COVID-19 and dengue fever: A dangerous combination for the health system in Brazil,2020,Travel Medicine and Infectious Disease
Are Patients With Hypertension and Diabetes Mellitus at Increased Risk for COVID-19 Infection?,2020,Lancet Respir 110 Med,"COVID-19 and dengue, co-epidemics in Ecuador and other countries in Latin America: Pushing strained health care systems over the edge",2020,Travel Medicine and Infectious Disease
Potential Presymptomatic Transmission of SARS-CoV-2,2020,Emerg. Infect. Dis,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges,2020,Int. J. Antimicrob. Agents,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia",2020,New England Journal of Medicine,"Epidemiology of 2019 novel coronavirus in Jiangsu Province, China after wartime control measures: A population-level retrospective study",2020,Travel Medicine and Infectious Disease
The psychological impact of quarantine and how to reduce it: rapid review of the evidence,2020,Lancet Lond Engl,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
Mother Nature versus human nature: public compliance with evacuation and quarantine,2011,Disasters,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
Shutt up: bubonic plague and quarantine in early modern England,2012,J Soc Hist,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
"Understanding, compliance and psychological impact of the SARS quarantine experience",2008,Epidemiol. Infect,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
Modeling the impact of quarantine during an outbreak of Ebola virus disease,2019,Infect Dis Model,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
"2020. 16. account Yo. Positive after several negative nucleic acid tests, experts analyze the cause of such new cases of coronary pneumonia",,J. Clin. Microbiol,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
"International mass gatherings and travelassociated illness: a GeoSentinel cross-sectional, observational study",2009,,COVID-19 pandemic and economic cost; impact on forcibly displaced people,2020,Travel Medicine and Infectious Disease
Real-time data show virus hit to global economy,2020,Financial Times,COVID-19 pandemic and economic cost; impact on forcibly displaced people,2020,Travel Medicine and Infectious Disease
The arc of migration and the impact on children's health and well-being forward to the special issue-children on the move,2019,Children,COVID-19 pandemic and economic cost; impact on forcibly displaced people,2020,Travel Medicine and Infectious Disease
"Etiologies of diarrhea and drug susceptibility patterns of bacterial isolates among under-five year children in refugee camps in Gambella Region, Ethiopia: a case control study",2019,BMC Infect. Dis,COVID-19 pandemic and economic cost; impact on forcibly displaced people,2020,Travel Medicine and Infectious Disease
"addresses: mahvish.k82@gmail.com (M. Kabir), sohail.ncvi@gmail.com (M.S. Afzal)",,,COVID-19 pandemic and economic cost; impact on forcibly displaced people,2020,Travel Medicine and Infectious Disease
Haroon Ahmed * Department of Biosciences,,,COVID-19 pandemic and economic cost; impact on forcibly displaced people,2020,Travel Medicine and Infectious Disease
"Sah Ranjit. Clinical, laboratory and imaging features of COVID-19: a systematic review and meta-analysis",2020,Trav Med Infect Dis,"COVID-19 in a tertiary hospital from Romania: Epidemiology, preparedness and clinical challenges",2020,Travel Medicine and Infectious Disease
MERS-CoV as an emerging respiratory illness: a review of prevention methods,2019,Trav Med Infect Dis,"COVID-19 in a tertiary hospital from Romania: Epidemiology, preparedness and clinical challenges",2020,Travel Medicine and Infectious Disease
Is Romania ready to face the novel coronavirus (COVID-19) outbreak? The role of incoming travelers and that of Romanian diaspora,2020,Trav Med Infect Dis,"COVID-19 in a tertiary hospital from Romania: Epidemiology, preparedness and clinical challenges",2020,Travel Medicine and Infectious Disease
Long term serious olfactory loss in colds and/or Flu,2013,Acta Otorrinolaringologica (English Edition),"COVID-19 in a tertiary hospital from Romania: Epidemiology, preparedness and clinical challenges",2020,Travel Medicine and Infectious Disease
WHO Director-General's opening remarks at the media briefing on COVID-19 -11,2020,,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Vitamin C promotes maturation of T-cells,2013,Antioxid Redox Signal,Individual risk management strategy and potential therapeutic options for the COVID-19 pandemic,2020,Clinical Immunology
"Coronavirus COVID-19 Global Cases by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University (JHU) (accessed on March, 26 th",,,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Evaluation and Treatment Coronavirus (COVID-19),2020,,Individual risk management strategy and potential therapeutic options for the COVID-19 pandemic,2020,Clinical Immunology
Chloroquine for the 2019 novel coronavirus SARS-CoV-2,,Int. J. Antimicrob. Agents,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Chloroquine and hydroxychloroquine as available weapons to fight COVID-19,2020,Int. J. Antimicrob. Agents,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Focusing on the Unfolded Protein Response and Autophagy Related Pathways to Reposition Common Approved Drugs against COVID-19,2020,Preprints,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
?title. Ref Type: Internet Communication,1919,,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Zinc and immunity: An essential interrelation,2016,Archives of biochemistry and biophysics,Individual risk management strategy and potential therapeutic options for the COVID-19 pandemic,2020,Clinical Immunology
A Novel Coronavirus from Patients with Pneumonia in China,2019,The New England journal of medicine 2020,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
In Vitro Antiviral Activity and Projection of Optimized Dosing Design of Hydroxychloroquine for the Treatment of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),2009,Clin. Infect. Dis,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Remdesivir and chloroquine effectively inhibit the recently emerged novel coronavirus (2019-nCoV) in vitro,2020,Cell Research,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Clinical features of patients infected with 2019 novel coronavirus in Wuhan,2020,China. The Lancet,"Incidence of novel coronavirus (2019-nCoV) infection among people under home quarantine in Shenzhen, China",2020,Travel Medicine and Infectious Disease
"Hydroxychloroquine, a less toxic derivative of chloroquine, is effective in inhibiting SARS-CoV-2 infection in vitro",2020,Cell Discov,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies,2020,Biosci Trends,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges,2020,Int. J. Antimicrob. Agents,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
COVID-19: a recommendation to examine the effect of hydroxychloroquine in preventing infection and progression,2020,J. Antimicrob. Chemother,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial,2020,International Journal of Antimicrobial Agents,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
A pilot study of hydroxychloroquine in treatment of patients with common coronavirus disease-19 (COVID-19),2020,Journal of Zhejaing University(Medical Sciences,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial,2020,MedRxiv,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
"Novel coronavirus infection during the 2019-2020 epidemic: preparing intensive care units-the experience in Sichuan Province, China",2020,Intensive Care Med,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR,2020,Euro Surveill,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Rapid viral diagnosis and ambulatory management of suspected COVID-19 cases presenting at the infections diseases referral hospital,2020,Travel Med Infect Dis,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Temporal profiles of viral load in posterior oropharyngeal saliva samples and serum antibody responses during infection by SARS-CoV-2: an observational cohort study,2020,The Lancet Infectious Diseases,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Viral dynamics in mild and severe cases of COVID-19,,Lancet Infect. Dis,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Time Kinetics of Viral Clearance and Resolution of Symptoms in Novel Coronavirus Infection,2020,Am. J. Respir. Crit. Care Med,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Use of antiviral drugs to reduce COVID-19 transmission,2020,Lancet Glob Health,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
Cardiac Complications Attributed to Chloroquine and Hydroxychloroquine: A Systematic Review of the Literature,2018,Drug Saf,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study,2020,Travel Medicine and Infectious Disease
"Advancing a School of Nursing Center for Climate Change, Climate Justice, and Health",2020,Ann Rev Nurs Res,Are We Ready for Anything?,2020,The Journal for Nurse Practitioners
Integrating climate change topics into nursing curricula,2019,J Nurs Educ,Are We Ready for Anything?,2020,The Journal for Nurse Practitioners
Rolling updates on coronavirus disease (COVID-19),,,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
A case of 2019 Novel Coronavirus in a pregnant woman with preterm delivery,2020,Clin. Infect. Dis,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records,2020,Lancet,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Performance of radiologists in differentiating COVID-19 from viral pneumonia on chest CT,2008,Radiology,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study",2020,Lancet Infect. Dis,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Pregnancy and perinatal outcomes of women with severe acute respiratory syndrome,2004,Am J Obstet Gynecol,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Middle East Respiratory Syndrome Coronavirus infection during pregnancy: a report of 5 cases from Saudi Arabia,2016,Clin. Infect. Dis,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,Lancet Lond Engl,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Chest CT findings in coronavirus disease-19 (COVID-19): relationship to duration of infection,2004,Radiology,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
CT Imaging Features of 2019 Novel Coronavirus (2019-nCoV),2020,Radiology,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Clinical Characteristics of Coronavirus Disease 2019 in China,,N Engl J Med,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
"An Analysis of 38 Pregnant Women with COVID-19, Their Newborn Infants, and Maternal-Fetal Transmission of SARS-CoV-2: Maternal Coronavirus Infections and Pregnancy Outcomes",2020,Archives of Pathology & Laboratory Medicine,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
"Chest CT Findings in 2019 Novel Coronavirus (2019-nCoV) Infections from Wuhan, China: Key Points for the Radiologist",2002,,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Clinical manifestations and outcome of SARS-CoV-2 infection during pregnancy,2020,J. Infect,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Travel Medicine and Infectious Disease xxx (xxxx) xxxx,,,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Cross-reactive immunity among flaviviruses,2020,Front. Immunol,What are the factors influencing the COVID-19 outbreak in Latin America?,2020,Travel Medicine and Infectious Disease
Helminth infections suppress the efficacy of vaccination against seasonal influenza,2019,Cell Rep,What are the factors influencing the COVID-19 outbreak in Latin America?,2020,Travel Medicine and Infectious Disease
Contribution of CD8+ T cells to innate immunity: IFN-γ secretion induced by IL-12 and IL-18,2002,Eur. J. Immunol,What are the factors influencing the COVID-19 outbreak in Latin America?,2020,Travel Medicine and Infectious Disease
BCG vaccination protects against experimental viral infection in humans through the induction of cytokines associated with trained immunity,2018,Cell Host 302 Microbe,What are the factors influencing the COVID-19 outbreak in Latin America?,2020,Travel Medicine and Infectious Disease
"Age-related increases in PGD(2) expression impair respiratory DC migration, resulting in diminished T cell responses upon respiratory virus infection in mice",2011,J. Clin. Invest,What are the factors influencing the COVID-19 outbreak in Latin America?,2020,Travel Medicine and Infectious Disease
Pathogenic human coronavirus infections: causes and consequences of cytokine storm and immunopathology,2017,Semin. Immunopathol,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
